"","video","grp","stim","loc","field.grp.sz","avg.h.bystim","short.beh","sum.beh","prop.beh","mean.def","mean.notdef","stim.mean.propdef","mean.in2m","mean.out2m","stim.mean.prop2m","time.last2m"
"1","11C1AM","11","c_call","Core",15,0.676333333333333,"St",18,0.692307692307692,1,7,0.125,14,0,1,NA
"2","11C1AM","11","c_call","Core",15,0.676333333333333,"W/R",5,0.192307692307692,1,7,0.125,14,0,1,NA
"3","11C1AM","11","c_call","Core",15,0.676333333333333,"A",0,0,1,7,0.125,14,0,1,NA
"4","11C1AM","11","c_call","Core",15,0.676333333333333,"V",3,0.115384615384615,1,7,0.125,14,0,1,NA
"5","11C1AM","11","c_call","Core",15,0.676333333333333,"M",0,0,1,7,0.125,14,0,1,NA
"6","11C1AM","11","c_call","Core",15,0.676333333333333,"D",0,0,1,7,0.125,14,0,1,NA
"7","11C1AM","11","c_scents","Core",15,0.49425,"St",19,0.703703703703704,2,4,0.333333333333333,6,8,0.428571428571429,210
"8","11C1AM","11","c_scents","Core",15,0.49425,"W/R",0,0,2,4,0.333333333333333,6,8,0.428571428571429,210
"9","11C1AM","11","c_scents","Core",15,0.49425,"A",0,0,2,4,0.333333333333333,6,8,0.428571428571429,210
"10","11C1AM","11","c_scents","Core",15,0.49425,"V",0,0,2,4,0.333333333333333,6,8,0.428571428571429,210
"11","11C1AM","11","c_scents","Core",15,0.49425,"M",8,0.296296296296296,2,4,0.333333333333333,6,8,0.428571428571429,210
"12","11C1AM","11","c_scents","Core",15,0.49425,"D",0,0,2,4,0.333333333333333,6,8,0.428571428571429,210
"13","11C2AM","11","c_call","Non-core",13,NA,"St",0,NA,NA,NA,NA,0,8,0,NA
"14","11C2AM","11","c_call","Non-core",13,NA,"W/R",0,NA,NA,NA,NA,0,8,0,NA
"15","11C2AM","11","c_call","Non-core",13,NA,"A",0,NA,NA,NA,NA,0,8,0,NA
"16","11C2AM","11","c_call","Non-core",13,NA,"V",0,NA,NA,NA,NA,0,8,0,NA
"17","11C2AM","11","c_call","Non-core",13,NA,"M",0,NA,NA,NA,NA,0,8,0,NA
"18","11C2AM","11","c_call","Non-core",13,NA,"D",0,NA,NA,NA,NA,0,8,0,NA
"19","11C2AM","11","c_scents","Non-core",13,0.187333333333333,"St",4,0.5,0,2,0,2,6,0.25,210
"20","11C2AM","11","c_scents","Non-core",13,0.187333333333333,"W/R",4,0.5,0,2,0,2,6,0.25,210
"21","11C2AM","11","c_scents","Non-core",13,0.187333333333333,"A",0,0,0,2,0,2,6,0.25,210
"22","11C2AM","11","c_scents","Non-core",13,0.187333333333333,"V",0,0,0,2,0,2,6,0.25,210
"23","11C2AM","11","c_scents","Non-core",13,0.187333333333333,"M",0,0,0,2,0,2,6,0.25,210
"24","11C2AM","11","c_scents","Non-core",13,0.187333333333333,"D",0,0,0,2,0,2,6,0.25,210
"25","11C2PM","11","c_intruders","Non-core",13,0.534285714285714,"St",24,0.705882352941177,0,4,0,5,4,0.555555555555556,210
"26","11C2PM","11","c_intruders","Non-core",13,0.534285714285714,"W/R",6,0.176470588235294,0,4,0,5,4,0.555555555555556,210
"27","11C2PM","11","c_intruders","Non-core",13,0.534285714285714,"A",0,0,0,4,0,5,4,0.555555555555556,210
"28","11C2PM","11","c_intruders","Non-core",13,0.534285714285714,"V",4,0.117647058823529,0,4,0,5,4,0.555555555555556,210
"29","11C2PM","11","c_intruders","Non-core",13,0.534285714285714,"M",0,0,0,4,0,5,4,0.555555555555556,210
"30","11C2PM","11","c_intruders","Non-core",13,0.534285714285714,"D",0,0,0,4,0,5,4,0.555555555555556,210
"31","11C3AM","11","c_scents","Core",12,0.73725,"St",11,0.578947368421053,0,4,0,4,6,0.4,210
"32","11C3AM","11","c_scents","Core",12,0.73725,"W/R",6,0.315789473684211,0,4,0,4,6,0.4,210
"33","11C3AM","11","c_scents","Core",12,0.73725,"A",0,0,0,4,0,4,6,0.4,210
"34","11C3AM","11","c_scents","Core",12,0.73725,"V",0,0,0,4,0,4,6,0.4,210
"35","11C3AM","11","c_scents","Core",12,0.73725,"M",2,0.105263157894737,0,4,0,4,6,0.4,210
"36","11C3AM","11","c_scents","Core",12,0.73725,"D",0,0,0,4,0,4,6,0.4,210
"37","11C3PM","11","c_intruders","Core",12,0.34,"St",19,0.791666666666667,0,3,0,3,4,0.428571428571429,210
"38","11C3PM","11","c_intruders","Core",12,0.34,"W/R",5,0.208333333333333,0,3,0,3,4,0.428571428571429,210
"39","11C3PM","11","c_intruders","Core",12,0.34,"A",0,0,0,3,0,3,4,0.428571428571429,210
"40","11C3PM","11","c_intruders","Core",12,0.34,"V",0,0,0,3,0,3,4,0.428571428571429,210
"41","11C3PM","11","c_intruders","Core",12,0.34,"M",0,0,0,3,0,3,4,0.428571428571429,210
"42","11C3PM","11","c_intruders","Core",12,0.34,"D",0,0,0,3,0,3,4,0.428571428571429,210
"43","11R1PM","11","t_intruders","Core",15,0.736,"St",6,0.113207547169811,5,5,0.5,7,7,0.5,130
"44","11R1PM","11","t_intruders","Core",15,0.736,"W/R",19,0.358490566037736,5,5,0.5,7,7,0.5,130
"45","11R1PM","11","t_intruders","Core",15,0.736,"A",14,0.264150943396226,5,5,0.5,7,7,0.5,130
"46","11R1PM","11","t_intruders","Core",15,0.736,"V",1,0.0188679245283019,5,5,0.5,7,7,0.5,130
"47","11R1PM","11","t_intruders","Core",15,0.736,"M",13,0.245283018867925,5,5,0.5,7,7,0.5,130
"48","11R1PM","11","t_intruders","Core",15,0.736,"D",0,0,5,5,0.5,7,7,0.5,130
"49","11R2PM","11","t_intruders","Non-core",15,0.888571428571429,"St",21,0.2625,2,8,0.2,11,4,0.733333333333333,42
"50","11R2PM","11","t_intruders","Non-core",15,0.888571428571429,"W/R",40,0.5,2,8,0.2,11,4,0.733333333333333,42
"51","11R2PM","11","t_intruders","Non-core",15,0.888571428571429,"A",6,0.075,2,8,0.2,11,4,0.733333333333333,42
"52","11R2PM","11","t_intruders","Non-core",15,0.888571428571429,"V",0,0,2,8,0.2,11,4,0.733333333333333,42
"53","11R2PM","11","t_intruders","Non-core",15,0.888571428571429,"M",13,0.1625,2,8,0.2,11,4,0.733333333333333,42
"54","11R2PM","11","t_intruders","Non-core",15,0.888571428571429,"D",0,0,2,8,0.2,11,4,0.733333333333333,42
"55","11R3AM","11","t_call","Core",10,NA,"St",0,NA,NA,NA,NA,0,8,0,NA
"56","11R3AM","11","t_call","Core",10,NA,"W/R",0,NA,NA,NA,NA,0,8,0,NA
"57","11R3AM","11","t_call","Core",10,NA,"A",0,NA,NA,NA,NA,0,8,0,NA
"58","11R3AM","11","t_call","Core",10,NA,"V",0,NA,NA,NA,NA,0,8,0,NA
"59","11R3AM","11","t_call","Core",10,NA,"M",0,NA,NA,NA,NA,0,8,0,NA
"60","11R3AM","11","t_call","Core",10,NA,"D",0,NA,NA,NA,NA,0,8,0,NA
"61","11R3AM","11","t_scents","Core",10,1.02033333333333,"St",6,0.260869565217391,3,4,0.428571428571429,7,0,1,8
"62","11R3AM","11","t_scents","Core",10,1.02033333333333,"W/R",7,0.304347826086957,3,4,0.428571428571429,7,0,1,8
"63","11R3AM","11","t_scents","Core",10,1.02033333333333,"A",0,0,3,4,0.428571428571429,7,0,1,8
"64","11R3AM","11","t_scents","Core",10,1.02033333333333,"V",0,0,3,4,0.428571428571429,7,0,1,8
"65","11R3AM","11","t_scents","Core",10,1.02033333333333,"M",10,0.434782608695652,3,4,0.428571428571429,7,0,1,8
"66","11R3AM","11","t_scents","Core",10,1.02033333333333,"D",0,0,3,4,0.428571428571429,7,0,1,8
"67","11R3PM","11","t_intruders","Core",10,0.904285714285714,"St",8,0.129032258064516,4,4,0.5,7,2,0.777777777777778,88
"68","11R3PM","11","t_intruders","Core",10,0.904285714285714,"W/R",25,0.403225806451613,4,4,0.5,7,2,0.777777777777778,88
"69","11R3PM","11","t_intruders","Core",10,0.904285714285714,"A",4,0.0645161290322581,4,4,0.5,7,2,0.777777777777778,88
"70","11R3PM","11","t_intruders","Core",10,0.904285714285714,"V",1,0.0161290322580645,4,4,0.5,7,2,0.777777777777778,88
"71","11R3PM","11","t_intruders","Core",10,0.904285714285714,"M",24,0.387096774193548,4,4,0.5,7,2,0.777777777777778,88
"72","11R3PM","11","t_intruders","Core",10,0.904285714285714,"D",0,0,4,4,0.5,7,2,0.777777777777778,88
"73","11R4AM","11","t_call","Core",12,0.721,"St",20,0.606060606060606,1,9,0.1,5,6,0.454545454545455,NA
"74","11R4AM","11","t_call","Core",12,0.721,"W/R",8,0.242424242424242,1,9,0.1,5,6,0.454545454545455,NA
"75","11R4AM","11","t_call","Core",12,0.721,"A",0,0,1,9,0.1,5,6,0.454545454545455,NA
"76","11R4AM","11","t_call","Core",12,0.721,"V",5,0.151515151515152,1,9,0.1,5,6,0.454545454545455,NA
"77","11R4AM","11","t_call","Core",12,0.721,"M",0,0,1,9,0.1,5,6,0.454545454545455,NA
"78","11R4AM","11","t_call","Core",12,0.721,"D",0,0,1,9,0.1,5,6,0.454545454545455,NA
"79","11R4AM","11","t_scents","Core",12,0.7696,"St",19,0.358490566037736,4,5,0.444444444444444,10,1,0.909090909090909,24
"80","11R4AM","11","t_scents","Core",12,0.7696,"W/R",10,0.188679245283019,4,5,0.444444444444444,10,1,0.909090909090909,24
"81","11R4AM","11","t_scents","Core",12,0.7696,"A",0,0,4,5,0.444444444444444,10,1,0.909090909090909,24
"82","11R4AM","11","t_scents","Core",12,0.7696,"V",0,0,4,5,0.444444444444444,10,1,0.909090909090909,24
"83","11R4AM","11","t_scents","Core",12,0.7696,"M",24,0.452830188679245,4,5,0.444444444444444,10,1,0.909090909090909,24
"84","11R4AM","11","t_scents","Core",12,0.7696,"D",0,0,4,5,0.444444444444444,10,1,0.909090909090909,24
"85","11R4PM","11","t_intruders","Core",12,1.09,"St",14,0.2,3,6,0.333333333333333,9,1,0.9,47
"86","11R4PM","11","t_intruders","Core",12,1.09,"W/R",31,0.442857142857143,3,6,0.333333333333333,9,1,0.9,47
"87","11R4PM","11","t_intruders","Core",12,1.09,"A",13,0.185714285714286,3,6,0.333333333333333,9,1,0.9,47
"88","11R4PM","11","t_intruders","Core",12,1.09,"V",1,0.0142857142857143,3,6,0.333333333333333,9,1,0.9,47
"89","11R4PM","11","t_intruders","Core",12,1.09,"M",11,0.157142857142857,3,6,0.333333333333333,9,1,0.9,47
"90","11R4PM","11","t_intruders","Core",12,1.09,"D",0,0,3,6,0.333333333333333,9,1,0.9,47
"91","1BC1AM","1B","c_call",NA,28,0.685,"St",16,0.615384615384615,0,8,0,8,9,0.470588235294118,NA
"92","1BC1AM","1B","c_call",NA,28,0.685,"W/R",9,0.346153846153846,0,8,0,8,9,0.470588235294118,NA
"93","1BC1AM","1B","c_call",NA,28,0.685,"A",0,0,0,8,0,8,9,0.470588235294118,NA
"94","1BC1AM","1B","c_call",NA,28,0.685,"V",1,0.0384615384615385,0,8,0,8,9,0.470588235294118,NA
"95","1BC1AM","1B","c_call",NA,28,0.685,"M",0,0,0,8,0,8,9,0.470588235294118,NA
"96","1BC1AM","1B","c_call",NA,28,0.685,"D",0,0,0,8,0,8,9,0.470588235294118,NA
"97","1BC1AM","1B","c_scents",NA,28,0.5665,"St",15,0.454545454545455,1,7,0.125,7,10,0.411764705882353,210
"98","1BC1AM","1B","c_scents",NA,28,0.5665,"W/R",14,0.424242424242424,1,7,0.125,7,10,0.411764705882353,210
"99","1BC1AM","1B","c_scents",NA,28,0.5665,"A",0,0,1,7,0.125,7,10,0.411764705882353,210
"100","1BC1AM","1B","c_scents",NA,28,0.5665,"V",0,0,1,7,0.125,7,10,0.411764705882353,210
"101","1BC1AM","1B","c_scents",NA,28,0.5665,"M",4,0.121212121212121,1,7,0.125,7,10,0.411764705882353,210
"102","1BC1AM","1B","c_scents",NA,28,0.5665,"D",0,0,1,7,0.125,7,10,0.411764705882353,210
"103","1BC1PM","1B","c_intruders",NA,28,0.306666666666667,"St",14,0.636363636363636,0,3,0,3,17,0.15,210
"104","1BC1PM","1B","c_intruders",NA,28,0.306666666666667,"W/R",8,0.363636363636364,0,3,0,3,17,0.15,210
"105","1BC1PM","1B","c_intruders",NA,28,0.306666666666667,"A",0,0,0,3,0,3,17,0.15,210
"106","1BC1PM","1B","c_intruders",NA,28,0.306666666666667,"V",0,0,0,3,0,3,17,0.15,210
"107","1BC1PM","1B","c_intruders",NA,28,0.306666666666667,"M",0,0,0,3,0,3,17,0.15,210
"108","1BC1PM","1B","c_intruders",NA,28,0.306666666666667,"D",0,0,0,3,0,3,17,0.15,210
"109","1BC2AM","1B","c_scents","Non-core",27,0.382,"St",14,0.466666666666667,0,7,0,NA,NA,NA,NA
"110","1BC2AM","1B","c_scents","Non-core",27,0.382,"W/R",15,0.5,0,7,0,NA,NA,NA,NA
"111","1BC2AM","1B","c_scents","Non-core",27,0.382,"A",0,0,0,7,0,NA,NA,NA,NA
"112","1BC2AM","1B","c_scents","Non-core",27,0.382,"V",0,0,0,7,0,NA,NA,NA,NA
"113","1BC2AM","1B","c_scents","Non-core",27,0.382,"M",1,0.0333333333333333,0,7,0,NA,NA,NA,NA
"114","1BC2AM","1B","c_scents","Non-core",27,0.382,"D",0,0,0,7,0,NA,NA,NA,NA
"115","1BC2PM","1B","c_intruders","Core",27,0.606,"St",6,0.352941176470588,0,3,0,2,6,0.25,210
"116","1BC2PM","1B","c_intruders","Core",27,0.606,"W/R",9,0.529411764705882,0,3,0,2,6,0.25,210
"117","1BC2PM","1B","c_intruders","Core",27,0.606,"A",0,0,0,3,0,2,6,0.25,210
"118","1BC2PM","1B","c_intruders","Core",27,0.606,"V",1,0.0588235294117647,0,3,0,2,6,0.25,210
"119","1BC2PM","1B","c_intruders","Core",27,0.606,"M",0,0,0,3,0,2,6,0.25,210
"120","1BC2PM","1B","c_intruders","Core",27,0.606,"D",1,0.0588235294117647,0,3,0,2,6,0.25,210
"121","1BC3AM","1B","c_call","Non-core",27,0.877,"St",6,0.4,1,6,0.142857142857143,6,20,0.230769230769231,NA
"122","1BC3AM","1B","c_call","Non-core",27,0.877,"W/R",7,0.466666666666667,1,6,0.142857142857143,6,20,0.230769230769231,NA
"123","1BC3AM","1B","c_call","Non-core",27,0.877,"A",0,0,1,6,0.142857142857143,6,20,0.230769230769231,NA
"124","1BC3AM","1B","c_call","Non-core",27,0.877,"V",0,0,1,6,0.142857142857143,6,20,0.230769230769231,NA
"125","1BC3AM","1B","c_call","Non-core",27,0.877,"M",2,0.133333333333333,1,6,0.142857142857143,6,20,0.230769230769231,NA
"126","1BC3AM","1B","c_call","Non-core",27,0.877,"D",0,0,1,6,0.142857142857143,6,20,0.230769230769231,NA
"127","1BC3AM","1B","c_scents","Non-core",27,0.76975,"St",23,0.560975609756098,0,9,0,6,20,0.230769230769231,210
"128","1BC3AM","1B","c_scents","Non-core",27,0.76975,"W/R",16,0.390243902439024,0,9,0,6,20,0.230769230769231,210
"129","1BC3AM","1B","c_scents","Non-core",27,0.76975,"A",0,0,0,9,0,6,20,0.230769230769231,210
"130","1BC3AM","1B","c_scents","Non-core",27,0.76975,"V",0,0,0,9,0,6,20,0.230769230769231,210
"131","1BC3AM","1B","c_scents","Non-core",27,0.76975,"M",2,0.0487804878048781,0,9,0,6,20,0.230769230769231,210
"132","1BC3AM","1B","c_scents","Non-core",27,0.76975,"D",0,0,0,9,0,6,20,0.230769230769231,210
"133","1BC4PM","1B","c_intruders","Core",23,0.614285714285714,"St",14,0.274509803921569,3,4,0.428571428571429,6,12,0.333333333333333,210
"134","1BC4PM","1B","c_intruders","Core",23,0.614285714285714,"W/R",14,0.274509803921569,3,4,0.428571428571429,6,12,0.333333333333333,210
"135","1BC4PM","1B","c_intruders","Core",23,0.614285714285714,"A",0,0,3,4,0.428571428571429,6,12,0.333333333333333,210
"136","1BC4PM","1B","c_intruders","Core",23,0.614285714285714,"V",0,0,3,4,0.428571428571429,6,12,0.333333333333333,210
"137","1BC4PM","1B","c_intruders","Core",23,0.614285714285714,"M",23,0.450980392156863,3,4,0.428571428571429,6,12,0.333333333333333,210
"138","1BC4PM","1B","c_intruders","Core",23,0.614285714285714,"D",0,0,3,4,0.428571428571429,6,12,0.333333333333333,210
"139","1BC5AM","1B","c_call","Non-core",20,0.6395,"St",17,0.586206896551724,0,14,0,6,13,0.315789473684211,NA
"140","1BC5AM","1B","c_call","Non-core",20,0.6395,"W/R",12,0.413793103448276,0,14,0,6,13,0.315789473684211,NA
"141","1BC5AM","1B","c_call","Non-core",20,0.6395,"A",0,0,0,14,0,6,13,0.315789473684211,NA
"142","1BC5AM","1B","c_call","Non-core",20,0.6395,"V",0,0,0,14,0,6,13,0.315789473684211,NA
"143","1BC5AM","1B","c_call","Non-core",20,0.6395,"M",0,0,0,14,0,6,13,0.315789473684211,NA
"144","1BC5AM","1B","c_call","Non-core",20,0.6395,"D",0,0,0,14,0,6,13,0.315789473684211,NA
"145","1BC5AM","1B","c_scents","Non-core",20,0.9325,"St",3,0.176470588235294,2,6,0.25,2,17,0.105263157894737,210
"146","1BC5AM","1B","c_scents","Non-core",20,0.9325,"W/R",9,0.529411764705882,2,6,0.25,2,17,0.105263157894737,210
"147","1BC5AM","1B","c_scents","Non-core",20,0.9325,"A",0,0,2,6,0.25,2,17,0.105263157894737,210
"148","1BC5AM","1B","c_scents","Non-core",20,0.9325,"V",0,0,2,6,0.25,2,17,0.105263157894737,210
"149","1BC5AM","1B","c_scents","Non-core",20,0.9325,"M",5,0.294117647058824,2,6,0.25,2,17,0.105263157894737,210
"150","1BC5AM","1B","c_scents","Non-core",20,0.9325,"D",0,0,2,6,0.25,2,17,0.105263157894737,210
"151","1BC5PM","1B","c_intruders","Non-core",20,0.768333333333333,"St",19,0.333333333333333,1,8,0.111111111111111,3,10,0.230769230769231,55
"152","1BC5PM","1B","c_intruders","Non-core",20,0.768333333333333,"W/R",28,0.491228070175439,1,8,0.111111111111111,3,10,0.230769230769231,55
"153","1BC5PM","1B","c_intruders","Non-core",20,0.768333333333333,"A",0,0,1,8,0.111111111111111,3,10,0.230769230769231,55
"154","1BC5PM","1B","c_intruders","Non-core",20,0.768333333333333,"V",0,0,1,8,0.111111111111111,3,10,0.230769230769231,55
"155","1BC5PM","1B","c_intruders","Non-core",20,0.768333333333333,"M",9,0.157894736842105,1,8,0.111111111111111,3,10,0.230769230769231,55
"156","1BC5PM","1B","c_intruders","Non-core",20,0.768333333333333,"D",1,0.0175438596491228,1,8,0.111111111111111,3,10,0.230769230769231,55
"157","1BC6AM","1B","c_call",NA,21,1.00133333333333,"St",24,0.444444444444444,4,13,0.235294117647059,13,7,0.65,NA
"158","1BC6AM","1B","c_call",NA,21,1.00133333333333,"W/R",16,0.296296296296296,4,13,0.235294117647059,13,7,0.65,NA
"159","1BC6AM","1B","c_call",NA,21,1.00133333333333,"A",0,0,4,13,0.235294117647059,13,7,0.65,NA
"160","1BC6AM","1B","c_call",NA,21,1.00133333333333,"V",0,0,4,13,0.235294117647059,13,7,0.65,NA
"161","1BC6AM","1B","c_call",NA,21,1.00133333333333,"M",14,0.259259259259259,4,13,0.235294117647059,13,7,0.65,NA
"162","1BC6AM","1B","c_call",NA,21,1.00133333333333,"D",0,0,4,13,0.235294117647059,13,7,0.65,NA
"163","1BC6AM","1B","c_scents",NA,21,0.72075,"St",17,0.53125,1,7,0.125,4,17,0.19047619047619,210
"164","1BC6AM","1B","c_scents",NA,21,0.72075,"W/R",11,0.34375,1,7,0.125,4,17,0.19047619047619,210
"165","1BC6AM","1B","c_scents",NA,21,0.72075,"A",0,0,1,7,0.125,4,17,0.19047619047619,210
"166","1BC6AM","1B","c_scents",NA,21,0.72075,"V",2,0.0625,1,7,0.125,4,17,0.19047619047619,210
"167","1BC6AM","1B","c_scents",NA,21,0.72075,"M",2,0.0625,1,7,0.125,4,17,0.19047619047619,210
"168","1BC6AM","1B","c_scents",NA,21,0.72075,"D",0,0,1,7,0.125,4,17,0.19047619047619,210
"169","1BC6PM","1B","c_intruders",NA,21,0.3125,"St",8,0.533333333333333,0,3,0,2,15,0.117647058823529,125
"170","1BC6PM","1B","c_intruders",NA,21,0.3125,"W/R",7,0.466666666666667,0,3,0,2,15,0.117647058823529,125
"171","1BC6PM","1B","c_intruders",NA,21,0.3125,"A",0,0,0,3,0,2,15,0.117647058823529,125
"172","1BC6PM","1B","c_intruders",NA,21,0.3125,"V",0,0,0,3,0,2,15,0.117647058823529,125
"173","1BC6PM","1B","c_intruders",NA,21,0.3125,"M",0,0,0,3,0,2,15,0.117647058823529,125
"174","1BC6PM","1B","c_intruders",NA,21,0.3125,"D",0,0,0,3,0,2,15,0.117647058823529,125
"175","1BR1AM","1B","t_call","Non-core",28,1.09866666666667,"St",17,0.257575757575758,7,14,0.333333333333333,0,28,0,NA
"176","1BR1AM","1B","t_call","Non-core",28,1.09866666666667,"W/R",27,0.409090909090909,7,14,0.333333333333333,0,28,0,NA
"177","1BR1AM","1B","t_call","Non-core",28,1.09866666666667,"A",0,0,7,14,0.333333333333333,0,28,0,NA
"178","1BR1AM","1B","t_call","Non-core",28,1.09866666666667,"V",21,0.318181818181818,7,14,0.333333333333333,0,28,0,NA
"179","1BR1AM","1B","t_call","Non-core",28,1.09866666666667,"M",1,0.0151515151515152,7,14,0.333333333333333,0,28,0,NA
"180","1BR1AM","1B","t_call","Non-core",28,1.09866666666667,"D",0,0,7,14,0.333333333333333,0,28,0,NA
"181","1BR1AM","1B","t_scents","Non-core",28,0.84225,"St",23,0.223300970873786,8,17,0.32,20,7,0.740740740740741,63
"182","1BR1AM","1B","t_scents","Non-core",28,0.84225,"W/R",47,0.456310679611651,8,17,0.32,20,7,0.740740740740741,63
"183","1BR1AM","1B","t_scents","Non-core",28,0.84225,"A",0,0,8,17,0.32,20,7,0.740740740740741,63
"184","1BR1AM","1B","t_scents","Non-core",28,0.84225,"V",0,0,8,17,0.32,20,7,0.740740740740741,63
"185","1BR1AM","1B","t_scents","Non-core",28,0.84225,"M",33,0.320388349514563,8,17,0.32,20,7,0.740740740740741,63
"186","1BR1AM","1B","t_scents","Non-core",28,0.84225,"D",0,0,8,17,0.32,20,7,0.740740740740741,63
"187","1BR1PM","1B","t_intruders","Non-core",28,0.928571428571429,"St",51,0.28021978021978,6,19,0.24,12,16,0.428571428571429,25
"188","1BR1PM","1B","t_intruders","Non-core",28,0.928571428571429,"W/R",86,0.472527472527473,6,19,0.24,12,16,0.428571428571429,25
"189","1BR1PM","1B","t_intruders","Non-core",28,0.928571428571429,"A",3,0.0164835164835165,6,19,0.24,12,16,0.428571428571429,25
"190","1BR1PM","1B","t_intruders","Non-core",28,0.928571428571429,"V",0,0,6,19,0.24,12,16,0.428571428571429,25
"191","1BR1PM","1B","t_intruders","Non-core",28,0.928571428571429,"M",42,0.230769230769231,6,19,0.24,12,16,0.428571428571429,25
"192","1BR1PM","1B","t_intruders","Non-core",28,0.928571428571429,"D",0,0,6,19,0.24,12,16,0.428571428571429,25
"193","1BR2AM","1B","t_call","Non-core",22,0.62075,"St",13,0.125,4,22,0.153846153846154,12,14,0.461538461538462,NA
"194","1BR2AM","1B","t_call","Non-core",22,0.62075,"W/R",75,0.721153846153846,4,22,0.153846153846154,12,14,0.461538461538462,NA
"195","1BR2AM","1B","t_call","Non-core",22,0.62075,"A",0,0,4,22,0.153846153846154,12,14,0.461538461538462,NA
"196","1BR2AM","1B","t_call","Non-core",22,0.62075,"V",12,0.115384615384615,4,22,0.153846153846154,12,14,0.461538461538462,NA
"197","1BR2AM","1B","t_call","Non-core",22,0.62075,"M",4,0.0384615384615385,4,22,0.153846153846154,12,14,0.461538461538462,NA
"198","1BR2AM","1B","t_call","Non-core",22,0.62075,"D",0,0,4,22,0.153846153846154,12,14,0.461538461538462,NA
"199","1BR2AM","1B","t_scents","Non-core",22,0.854666666666667,"St",20,0.263157894736842,12,13,0.48,16,9,0.64,43
"200","1BR2AM","1B","t_scents","Non-core",22,0.854666666666667,"W/R",20,0.263157894736842,12,13,0.48,16,9,0.64,43
"201","1BR2AM","1B","t_scents","Non-core",22,0.854666666666667,"A",0,0,12,13,0.48,16,9,0.64,43
